"","NI37_A","NI37_8","NI37_32","NI5_D","NI5_6","NI5_31","I37_G","I37_4","I37_28","I5_J","I5_2","I5_26"
"ENSMLUG00000024324",17,12,10,3,4,3,9,11,10,4,2,7
"ENSMLUG00000022961",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000025195",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000023061",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000029951",7,5,8,13,1,10,12,9,14,7,3,4
"ENSMLUG00000026494",5,5,4,9,3,10,6,9,9,3,4,7
"ENSMLUG00000005275",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000003451",1,1,1,0,0,1,0,0,0,0,0,0
"ENSMLUG00000029268",0,1,2,1,0,0,0,0,1,1,1,0
"ENSMLUG00000015557",601,608,421,1597,1277,886,641,845,1056,908,977,1072
"ENSMLUG00000009133",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000001175",8,13,10,12,9,9,6,17,6,11,2,7
"ENSMLUG00000022954",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000024795",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000023121",0,0,0,0,0,0,0,0,1,0,0,0
"ENSMLUG00000000106",15,1,8,10,3,14,4,6,12,11,6,5
"ENSMLUG00000022467",1,1,0,0,0,0,2,1,0,0,0,0
"ENSMLUG00000022316",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000026513",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMLUG00000028105",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000027720",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMLUG00000015360",49,24,37,43,19,32,20,13,26,44,24,18
"ENSMLUG00000017251",0,2,2,0,0,1,0,0,0,0,1,3
"ENSMLUG00000003113",613,407,683,1193,450,868,471,544,708,869,743,719
"ENSMLUG00000003125",3903,2548,4518,6054,1315,4494,3128,3485,4876,4535,3324,4079
"ENSMLUG00000005041",1,0,0,1,0,0,0,1,1,1,0,2
"ENSMLUG00000011624",2,0,2,2,2,1,0,2,1,0,0,0
"ENSMLUG00000022564",2,3,7,0,0,0,0,1,8,1,0,0
"ENSMLUG00000030765",262,121,323,156,28,196,315,192,294,139,70,138
"ENSMLUG00000024280",1,0,0,0,0,0,0,1,1,0,1,0
"ENSMLUG00000023291",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000028135",0,0,0,0,0,1,0,1,0,1,0,1
"ENSMLUG00000025069",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMLUG00000024788",0,0,0,1,0,0,0,1,0,0,0,0
"ENSMLUG00000023618",1,0,2,2,0,3,0,0,1,0,0,0
"ENSMLUG00000026755",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000027769",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000023319",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000023572",38,65,65,23,30,43,29,49,73,30,26,45
"ENSMLUG00000017377",1313,1177,1245,1445,463,1369,1011,1250,1458,1369,868,1143
"ENSMLUG00000027819",0,0,1,1,2,0,0,0,0,0,1,0
"ENSMLUG00000024471",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000023987",1,0,0,0,0,0,0,0,1,0,0,0
"ENSMLUG00000023066",0,1,1,0,0,0,0,0,1,0,0,0
"ENSMLUG00000023525",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000023384",6,5,5,1,0,1,3,2,2,3,0,0
"ENSMLUG00000022712",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000002753",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000022720",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000015549",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000007272",465,433,351,848,717,556,369,444,526,627,761,644
"ENSMLUG00000023839",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMLUG00000025068",360,239,412,814,359,594,290,341,461,597,477,595
"ENSMLUG00000026429",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000020709",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000005549",1667,1128,1880,1852,307,1684,1398,1410,2322,1347,1087,1612
"ENSMLUG00000008304",184,217,107,248,214,73,162,164,101,146,198,72
"ENSMLUG00000028879",13,26,7,35,22,16,11,17,19,17,15,32
"ENSMLUG00000030032",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMLUG00000016341",1662,822,1672,2363,596,1968,1447,1238,2056,1832,1172,1546
